Symbol,Date,Apollo_Action,Apollo_Score,Pct_Change,LayerSignal_Action,LayerSignal_Score,Exit_Pressure,Open,High,Low,Close,Volume,High52W,Low52W,RSI,20D_SMA,50D_SMA,200D_SMA,PE,Stochastic,52W_Prox,CMP,Traded_Value
RELIANCE,2026-08-12,HOLD,78.5,1.23,ENTRY,87.2,18.5,2950.0,2980.0,2940.0,2975.0,4500000,3200.0,2200.0,62.3,2900.0,2800.0,2600.0,28.5,71.0,7.0,2975.0,13387500000
TCS,2026-08-12,HOLD,81.0,0.85,ENTRY,89.5,22.0,4120.0,4180.0,4100.0,4160.0,2100000,4300.0,3300.0,68.4,4080.0,3950.0,3800.0,31.2,78.5,3.3,4160.0,8736000000
INFY,2026-08-12,HOLD,72.4,-0.45,ENTRY,79.0,32.1,1840.0,1865.0,1830.0,1850.0,3800000,1950.0,1350.0,55.8,1820.0,1790.0,1680.0,26.4,59.0,5.1,1850.0,7030000000
HDFCBANK,2026-08-12,HOLD,68.2,0.12,ENTRY,76.8,42.0,1650.0,1670.0,1645.0,1662.0,8200000,1750.0,1380.0,51.2,1640.0,1620.0,1580.0,18.8,48.0,5.0,1662.0,13628400000
ICICIBANK,2026-08-12,HOLD,85.1,1.82,ENTRY,91.4,14.2,1210.0,1238.0,1205.0,1232.0,6400000,1280.0,920.0,72.1,1190.0,1150.0,1080.0,19.2,84.0,3.8,1232.0,7884800000
SBIN,2026-08-12,HOLD,79.8,2.15,ENTRY,86.0,21.5,825.0,850.0,820.0,845.0,9500000,910.0,560.0,66.7,815.0,790.0,720.0,11.5,76.0,7.1,845.0,8027500000
BHARTIARTL,2026-08-12,HOLD,88.4,1.40,ENTRY,94.2,11.0,1460.0,1490.0,1455.0,1482.0,3100000,1520.0,880.0,74.8,1430.0,1380.0,1240.0,42.1,88.0,2.5,1482.0,4594200000
ITC,2026-08-12,HOLD,61.0,-0.10,FLAT,48.0,35.0,490.0,495.0,488.0,492.0,5200000,530.0,390.0,48.5,491.0,488.0,465.0,27.8,44.0,7.2,492.0,2558400000
LTIM,2026-08-12,HOLD,74.2,0.95,ENTRY,81.5,28.0,5450.0,5540.0,5420.0,5510.0,850000,6100.0,4300.0,58.9,5380.0,5200.0,5100.0,34.2,64.0,9.7,5510.0,4683500000
TATAMOTORS,2026-08-12,EXIT,42.0,-2.35,EXIT,38.2,78.4,1010.0,1015.0,978.0,984.0,7200000,1180.0,610.0,34.2,1030.0,1060.0,990.0,16.4,22.0,16.6,984.0,7084800000
BAJFINANCE,2026-08-12,HOLD,71.5,0.40,ENTRY,77.8,38.5,6850.0,6920.0,6810.0,6890.0,1100000,7800.0,6200.0,53.4,6780.0,6900.0,6700.0,29.1,51.0,11.7,6890.0,7579000000
ASIANPAINT,2026-08-12,EXIT,39.5,-1.80,EXIT,32.0,82.1,2890.0,2900.0,2820.0,2835.0,1800000,3400.0,2700.0,31.0,2940.0,2990.0,3120.0,52.4,18.0,16.6,2835.0,5103000000
HINDUNILVR,2026-08-12,HOLD,58.0,0.05,FLAT,52.0,41.0,2540.0,2560.0,2530.0,2548.0,1400000,2800.0,2300.0,46.2,2530.0,2520.0,2480.0,58.0,42.0,9.0,2548.0,3567200000
WIPRO,2026-08-12,HOLD,66.0,1.10,ENTRY,75.2,34.0,515.0,526.0,512.0,523.0,4100000,580.0,380.0,57.1,508.0,495.0,470.0,21.5,62.0,9.8,523.0,2144300000
KOTAKBANK,2026-08-12,HOLD,69.5,0.30,ENTRY,76.1,41.2,1780.0,1800.0,1772.0,1791.0,2300000,1920.0,1540.0,52.0,1770.0,1760.0,1740.0,22.0,49.0,6.7,1791.0,4119300000
TITAN,2026-08-12,HOLD,77.0,1.55,ENTRY,84.8,24.5,3480.0,3540.0,3460.0,3525.0,1200000,3850.0,3050.0,63.1,3430.0,3380.0,3300.0,84.2,72.0,8.4,3525.0,4230000000
SUNPHARMA,2026-08-12,HOLD,86.2,0.80,ENTRY,92.0,12.8,1710.0,1735.0,1705.0,1728.0,2000000,1780.0,1110.0,73.5,1680.0,1620.0,1480.0,38.1,86.0,2.9,1728.0,3456000000
MARUTI,2026-08-12,HOLD,73.0,-0.20,ENTRY,80.1,29.4,12400.0,12550.0,12320.0,12480.0,450000,13100.0,9200.0,58.2,12300.0,12100.0,11400.0,27.3,61.0,4.7,12480.0,5616000000
NTPC,2026-08-12,HOLD,82.5,2.40,ENTRY,88.9,16.0,395.0,410.0,392.0,406.0,12500000,425.0,210.0,70.2,388.0,370.0,320.0,17.4,81.0,4.5,406.0,5075000000
POWERGRID,2026-08-12,HOLD,80.1,1.90,ENTRY,86.5,19.2,328.0,338.0,326.0,335.0,9800000,360.0,200.0,68.0,322.0,310.0,275.0,18.1,77.0,6.9,335.0,3283000000
ULTRACEMCO,2026-08-12,HOLD,75.4,0.65,ENTRY,82.0,26.0,11200.0,11380.0,11150.0,11310.0,280000,11900.0,8100.0,60.8,11100.0,10800.0,10100.0,45.2,66.0,5.0,11310.0,3166800000
AXISBANK,2026-08-12,HOLD,70.8,0.50,ENTRY,78.0,36.2,1160.0,1178.0,1152.0,1170.0,4800000,1320.0,930.0,54.6,1150.0,1140.0,1100.0,13.8,53.0,11.4,1170.0,5616000000
TATASTEEL,2026-08-12,EXIT,44.1,-2.10,EXIT,36.0,75.0,158.0,159.0,153.0,154.5,22000000,184.0,115.0,36.5,160.0,165.0,152.0,48.0,24.0,16.0,154.5,3399000000
HCLTECH,2026-08-12,HOLD,79.0,1.20,ENTRY,86.8,20.1,1610.0,1640.0,1600.0,1632.0,2700000,1680.0,1210.0,67.3,1580.0,1520.0,1440.0,27.0,75.0,2.9,1632.0,4406400000
ADANIENT,2026-08-12,HOLD,63.5,-0.85,FLAT,54.0,52.0,3180.0,3220.0,3120.0,3150.0,2900000,3740.0,2150.0,47.0,3200.0,3180.0,2980.0,92.0,41.0,15.8,3150.0,9135000000
JSWSTEEL,2026-08-12,HOLD,59.2,-1.20,FLAT,51.0,58.0,920.0,925.0,898.0,904.0,3200000,1010.0,730.0,43.2,930.0,940.0,880.0,28.4,36.0,10.5,904.0,2892800000
GRASIM,2026-08-12,HOLD,71.0,0.35,ENTRY,77.5,33.0,2680.0,2710.0,2660.0,2698.0,920000,2850.0,1880.0,56.0,2650.0,2580.0,2390.0,32.0,58.0,5.3,2698.0,2482160000
TECHM,2026-08-12,HOLD,76.5,1.45,ENTRY,83.9,23.0,1510.0,1545.0,1502.0,1538.0,1900000,1580.0,1100.0,64.2,1480.0,1420.0,1320.0,51.0,71.0,2.7,1538.0,2922200000
ONGC,2026-08-12,HOLD,83.0,2.80,ENTRY,90.2,15.0,310.0,322.0,308.0,319.0,16000000,345.0,170.0,71.8,302.0,285.0,240.0,8.2,83.0,7.5,319.0,5104000000
COALINDIA,2026-08-12,HOLD,81.2,1.95,ENTRY,87.9,17.5,510.0,526.0,506.0,521.0,8400000,540.0,225.0,69.1,498.0,475.0,410.0,9.1,79.0,3.5,521.0,4376400000
CIPLA,2026-08-12,HOLD,74.8,0.70,ENTRY,81.0,27.2,1560.0,1585.0,1550.0,1574.0,1600000,1650.0,1140.0,60.1,1540.0,1500.0,1410.0,29.5,65.0,4.6,1574.0,2518400000
NESTLEIND,2026-08-12,HOLD,57.5,-0.15,FLAT,49.5,44.0,2480.0,2495.0,2465.0,2475.0,620000,2780.0,2150.0,45.8,2490.0,2510.0,2460.0,74.0,39.0,11.0,2475.0,1534500000
BRITANNIA,2026-08-12,HOLD,65.2,0.25,ENTRY,73.5,36.0,5680.0,5740.0,5650.0,5710.0,410000,6050.0,4600.0,52.9,5640.0,5590.0,5280.0,56.0,51.0,5.6,5710.0,2341100000
EICHERMOT,2026-08-12,HOLD,78.2,1.60,ENTRY,85.5,21.0,4820.0,4920.0,4800.0,4905.0,780000,5100.0,3350.0,65.4,4750.0,4610.0,4200.0,34.0,73.0,3.8,4905.0,3825900000
M&M,2026-08-12,HOLD,87.0,2.30,ENTRY,93.5,10.5,2910.0,2990.0,2890.0,2980.0,3500000,3050.0,1480.0,76.2,2840.0,2710.0,2250.0,31.5,89.0,2.3,2980.0,10430000000
